direction,group,area,type,vendor_name,normalized_name,slug,official_site,logo,logo_source_url,status,confidence,source,notes
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"ООО ""АЛЬФАПОЛ""","ООО ""АЛЬФАПОЛ""",ooo-alfapol,https://alfapol.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 35. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"ООО ""Бронотекс""","ООО ""Бронотекс""",ooo-bronoteks,https://bronotex.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 65. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,завод ЦСП,"ООО ""КАМИ-ГРУПП""","ООО ""КАМИ-ГРУПП""",ooo-kami-grupp,https://stanki.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: завод ЦСП, row 2. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"ООО ""СЭСТ-ЛЮВЭ""","ООО ""СЭСТ-ЛЮВЭ""",ooo-sest-lyuve,https://luvegroup.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 74. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"ООО ""Феррони""","ООО ""Феррони""",ooo-ferroni,https://ferroni-doors.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 72. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,ООО «АФК Лидер»,ООО «АФК Лидер»,ooo-afk-lider,https://afkleader.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 107. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,ООО «Изомакс Рус»,ООО «Изомакс Рус»,ooo-izomaks-rus,https://isomaxrus.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 2. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,ООО «ПФ Хаммер»,ООО «ПФ Хаммер»,ooo-pf-hammer,https://xammer-luki.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 23. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,ООО «ТД «РусКомпозит»,ООО «ТД «РусКомпозит»,ooo-td-ruskompozit,https://t-decks.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 13. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2025,ООО Век,ООО Век,ooo-vek,https://plast-vek.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2025, row 12. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,ООО Невидимые решетки,ООО Невидимые решетки,ooo-nevidimye-reshetki,https://invisiline.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 30. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2025,ООО Техносервис,ООО Техносервис,ooo-tehnoservis,https://www.selecta.ru/,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2025, row 47. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2025,ООО ФАБРИКА ЛЕСТНИЦ ЭЙФЕЛЬ,ООО ФАБРИКА ЛЕСТНИЦ ЭЙФЕЛЬ,ooo-fabrika-lestnits-eyfel,https://fabrika-lestnic.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2025, row 9. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Древесно плитные,Пешелань,Пешелань,peshelan,https://pgz-dekor.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Древесно плитные , row 9. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Свеза_Манутрово,Свеза_Манутрово,sveza-manutrovo,https://sveza.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 80. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Смоленский ДОК,Смоленский ДОК,smolenskiy-dok,https://smoldok.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 14. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Старвуд,Старвуд,starvud,https://starwoodnn.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 37. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,Старопетровское,Старопетровское,staropetrovskoe,https://kcstaro.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 66. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Сыктывкар ФК,Сыктывкар ФК,syktyvkar-fk,https://syply.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 70. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"ТПК ""Татполимер""","ТПК ""Татполимер""",tpk-tatpolimer,https://tatpolimer.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 28. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"Торговый Дом ""МИСТИ""","Торговый Дом ""МИСТИ""",torgovyy-dom-misti,https://mistytd.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 78. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,ОСБ,Уральский завод ОСБ,Уральский завод ОСБ,uralskiy-zavod-osb,https://uralosb.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ОСБ , row 6. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Фанпром,Фанпром,fanprom,https://starwoodnn.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 95. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Мосбилд 2024,"Холдинг ""Герметик Центр""","Холдинг ""Герметик Центр""",holding-germetik-tsentr,https://mastersil.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Мосбилд 2024, row 20. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,Холм-Жирковский,Холм-Жирковский,holm-zhirkovskiy,https://smolenskfanera.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 8. Logo source: official site."
Конструктивные решения,Древесно-плитные материалы,Древесно-плитные материалы,Фанера,ЧФМК,ЧФМК,chfmk,https://cfmk.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Фанера, row 25. Logo source: official site."
Конструктивные решения,Инертные и сыпучие материалы,Щебень,Щебень,ННК,ННК,nnk,https://nnk.ru/,,,manual_review_needed,medium,official_p2_remaining_groups_20260706,Official NNK site uses an inline SVG symbol logo in its JS bundle; supplier/product relation to crushed stone was checked from the official site menu/source and remains medium confidence until procurement confirms exact plants.
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Cybersteel,Cybersteel,cybersteel,https://cybersteel.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 88. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Блоки,INSTKULT,INSTKULT,instkult,https://istkult.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Official logotype PNG, supplier table row contained contacts URL in the company name, normalized to brand name."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Marcegaglia,Marcegaglia,marcegaglia,https://marcegaglia.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 117. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Блоки,АЛЬФАТЕКС ООО,АЛЬФАТЕКС ООО,alfateks-ooo,https://alfa-teks.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Блоки , row 5. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,металлоконструкции и изделия,АНТ-ИНЖИНИРИНГ ООО,АНТ-ИНЖИНИРИНГ ООО,ant-inzhiniring-ooo,https://ant-prom.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: металлоконструкции и изделия , row 18. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,"АО ""Алюминий Металлург Рус""","АО ""Алюминий Металлург Рус""",ao-alyuminiy-metallurg-rus,https://amrbk.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 119. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,СВаи,"АО ""Завод промстройдеталей""","АО ""Завод промстройдеталей""",ao-zavod-promstroydetaley,https://zavodpsd.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: СВаи , row 5. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Ашинский металлугрический завод,Ашинский металлугрический завод,ashinskiy-metallugricheskiy-zavod,https://amet.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 81. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Кирпич,"Белкерамик, г. Белгород","Белкерамик, г. Белгород",belkeramik-g-belgorod,https://bel-keram.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Кирпич , row 53. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,СВаи,ГК Монолит Сервис - Производство ЖБИ,ГК Монолит Сервис - Производство ЖБИ,gk-monolit-servis-proizvodstvo-zhbi,https://pkf-st.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: СВаи , row 6. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,ГЛАВТЕХКОНСТРУКЦИЯ,ГЛАВТЕХКОНСТРУКЦИЯ,glavtehkonstruktsiya,https://glavtk.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 166. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Опалубка Балка,Дмитровский Завод Строительной Опалубки,Дмитровский Завод Строительной Опалубки,dmitrovskiy-zavod-stroitelnoy-opalubki,https://dzsl.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Опалубка Балка, row 53. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,металлоконструкции и изделия,Завод Дорожных Конструкций «Соламир»,Завод Дорожных Конструкций «Соламир»,zavod-dorozhnyh-konstruktsiy-solamir,https://solamir.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: металлоконструкции и изделия , row 38. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,КМК ТЭМПО АО,КМК ТЭМПО АО,kmk-tempo-ao,https://kmk-tempo.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 2. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Блоки,КСЗ АО,КСЗ АО,ksz-ao,https://silikat.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Блоки , row 6. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,КУЗОЦМ,КУЗОЦМ,kuzotsm,https://kuzocm.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Official SVG, readable site-card variant uses black lettering on white cards."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Композитная арматура,Курский Завод Композитных Материалов,Курский Завод Композитных Материалов,kurskiy-zavod-kompozitnyh-materialov,https://kzkm.org,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Композитная арматура , row 4. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Опалубка Балка,МОНОЛИТКОМПЛЕКТ-ИНВЕСТ,МОНОЛИТКОМПЛЕКТ-ИНВЕСТ,monolitkomplekt-invest,https://opalubka.by,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Опалубка Балка, row 63. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Все для кровли,Металл Профиль,Металл Профиль,metall-profil,https://metallprofil.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Все для кровли , row 30. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,МЕталлокасеты,Метстальгрупп,Метстальгрупп,metstalgrupp,https://metstal.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: МЕталлокасеты , row 5. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Метчив,Метчив,metchiv,https://tdmchel.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 121. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,Монолит-сервис,Монолит-сервис,monolit-servis,https://pkf-st.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 13. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,НИЖНЕТАГИЛЬСКИЙ ТРУБНЫЙ ЗАВОД МЕТАЛЛИНВЕСТ,НИЖНЕТАГИЛЬСКИЙ ТРУБНЫЙ ЗАВОД МЕТАЛЛИНВЕСТ,nizhnetagilskiy-trubnyy-zavod-metallinvest,https://tagil-steel.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 93. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,НОВОРОССИЙСКИЙ ПРОКАТНЫЙ ЗАВОД ООО,НОВОРОССИЙСКИЙ ПРОКАТНЫЙ ЗАВОД ООО,novorossiyskiy-prokatnyy-zavod-ooo,https://ooonpz.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 37. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,НТПЗ ООО,НТПЗ ООО,ntpz-ooo,https://ntpz.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 11. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,"ОАО ""Гомельжелезобетон""","ОАО ""Гомельжелезобетон""",oao-gomelzhelezobeton,https://gomelbeton.by,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 22. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Цемент,"ООО ""Магнитогорский цементно-огнеупорный завод""","ООО ""Магнитогорский цементно-огнеупорный завод""",ooo-magnitogorskiy-tsementno-ogneupornyy-zavod,https://mcoz.mmk.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Цемент , row 9. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,СВАИ ЖБИ,"ООО ""Монолит-сервис""","ООО ""Монолит-сервис""",ooo-monolit-servis,https://pkf-st.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: СВАИ ЖБИ, row 4. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,керамзит блоки,ООО «Алексинский керамзитовый завод»,ООО «Алексинский керамзитовый завод»,ooo-aleksinskiy-keramzitovyy-zavod,https://keramzit-aleksin.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: керамзит блоки, row 11. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Хризотилцементные листы,ООО «Уральский асбоцементный завод»,ООО «Уральский асбоцементный завод»,ooo-uralskiy-asbotsementnyy-zavod,https://www.uralasbest.ru/,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Хризотилцементные листы, row 7. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Опалубка Балка,ООО «Уровень»,ООО «Уровень»,ooo-uroven,https://opalubkavspb.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Опалубка Балка, row 14. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Сендвич панели,ООО ЗАВОД «МРС,ООО ЗАВОД «МРС,ooo-zavod-mrs,https://mrs48.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Сендвич панели , row 20. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,ООО Сафоновский завод жби,ООО Сафоновский завод жби,ooo-safonovskiy-zavod-zhbi,https://szgbi.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 5. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,СВаи,ООО ТД БЕРОТЕК,ООО ТД БЕРОТЕК,ooo-td-berotek,https://plitapb.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: СВаи , row 4. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,ООО “РМИ-Сталь”,ООО “РМИ-Сталь”,ooo-rmi-stal,https://akron-holding.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 118. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,ООО”УМК”,ООО”УМК”,ooo-umk,https://uralmetalcompany.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 129. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,Очаковский завод ЖБИ,Очаковский завод ЖБИ,ochakovskiy-zavod-zhbi,https://okgbi.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 12. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,ПО НВТЗ ООО,ПО НВТЗ ООО,po-nvtz-ooo,https://ponvtz.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 52. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Петросталь,Петросталь,petrostal,https://mpstal.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 72. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,Производственная Компания «ЖБИ 50»,Производственная Компания «ЖБИ 50»,proizvodstvennaya-kompaniya-zhbi-50,https://zhbi50.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 16. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Ростовский электрометаллургический завод,Ростовский электрометаллургический завод,rostovskiy-elektrometallurgicheskiy-zavod,https://remzltd.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 71. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,Русские Шпунтовые Стены,Русские Шпунтовые Стены,russkie-shpuntovye-steny,https://profilgroup.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 75. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,металлоконструкции и изделия,СЕАФ-ТЕРМА ООО,СЕАФ-ТЕРМА ООО,seaf-terma-ooo,https://gostmetal.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: металлоконструкции и изделия , row 19. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,СЕВЕРСТАЛЬ ПАО,СЕВЕРСТАЛЬ ПАО,severstal-pao,https://severstal.com,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 57. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,металлоконструкции и изделия,СПЕКТРОМ ООО,СПЕКТРОМ ООО,spektrom-ooo,https://spectrom.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: металлоконструкции и изделия , row 13. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,Металл,СТАЛЬИМЭКС ТД ООО,СТАЛЬИМЭКС ТД ООО,stalimeks-td-ooo,https://www.stalimex.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: Металл, row 49. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,керамзит блоки,Серпуховский керамзитовый завод (СКЗ),Серпуховский керамзитовый завод (СКЗ),serpuhovskiy-keramzitovyy-zavod-skz,https://keramzit-serpuhov.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: керамзит блоки, row 12. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,керамзит блоки,"Тульский кирпичный завод ""Победа""","Тульский кирпичный завод ""Победа""",tulskiy-kirpichnyy-zavod-pobeda,https://tula-tkz.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: керамзит блоки, row 2. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,ЖБИ,Штарком,Штарком,shtarkom,https://www.obeton.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: ЖБИ, row 23. Logo source: official site."
Конструктивные решения,Конструктивные решения,Конструктивные решения,МЕталлокасеты,ЭлитФасад,ЭлитФасад,elitfasad,https://elitfasad.ru,,,manual_review_needed,high,supplier_import_20260630_official_site,"Prepared from supplier table. Sheet: МЕталлокасеты , row 32. Logo source: official site."
Конструктивные решения,Крепеж,Крепеж,Крепеж,TECH-KREP,TECH-KREP,tech-krep,https://tech-krep.com/,,,manual_review_needed,high,official_p2_remaining_groups_20260706,"Official site title identifies chemical anchors, dowels and fastening systems; logo from official template asset."
Конструктивные решения,Стены,Стены,Кирпич,АО «Воскресенский кирпичный завод»,"АО ""Воскресенский кирпичный завод""",ao-voskresenskiy-kirpichnyy-zavod,https://www.xn--80adbicaohaajcgcc8bghpnmimdc8nne.xn--p1ai/,,,manual_review_needed,high,user_confirmed_list,PNG logo from official site header with matching alt text.
Конструктивные решения,Стены,Стены,Кирпич,АО «Железногорский кирпичный завод»,"АО ""Железногорский кирпичный завод""",ao-zheleznogorskiy-kirpichnyy-zavod,,,,manual_review_needed,medium,user_confirmed_list,Site candidate needs manual confirmation. No trustworthy logo source used.
Конструктивные решения,Стены,Стены,Кирпич,АО «Керамика» / Ломинцевский кирпичный завод,"АО ""Керамика"" / Ломинцевский кирпичный завод",ao-keramika-lomintsevskiy-kirpichnyy-zavod,https://lomincevo.ru/,,,manual_review_needed,high,user_confirmed_list,SVG logo from official site header.
Конструктивные решения,Стены,Стены,Кирпич,АО «Новомосковский завод керамических материалов»,"АО ""Новомосковский завод керамических материалов""",ao-novomoskovskiy-zavod-keramicheskih-materialov,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,АО «Норский керамический завод»,"АО ""Норский керамический завод""",ao-norskiy-keramicheskiy-zavod,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,АО «Рязанский кирпичный завод»,"АО ""Рязанский кирпичный завод""",ao-ryazanskiy-kirpichnyy-zavod,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,АО «Силикат»,"АО ""Силикат""",ao-silikat,https://oaosilikat.ru/,,,manual_review_needed,high,user_confirmed_list,PNG logo from official site header.
Конструктивные решения,Стены,Стены,Кирпич,АО «Славянский кирпич»,"АО ""Славянский кирпич""",ao-slavyanskiy-kirpich,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,АО «Тульский кирпичный завод» / Тульский кирпичный завод №1,"АО ""Тульский кирпичный завод"" / Тульский кирпичный завод №1",ao-tulskiy-kirpichnyy-zavod-tulskiy-kirpichnyy-zavod-1,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Белкерамик / Белгородская керамика,Белкерамик / Белгородская керамика,belkeramik-belgorodskaya-keramika,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Группа компаний «Терех»,"Группа компаний ""Терех""",gruppa-kompaniy-tereh,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,ЗАО «Могилёвский комбинат силикатных изделий»,"ЗАО ""Могилёвский комбинат силикатных изделий""",zao-mogilevskiy-kombinat-silikatnyh-izdeliy,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Завод «РИМХЕН»,"Завод ""РИМХЕН""",zavod-rimhen,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Завод керамзитового гравия г. Новолукомль,Завод керамзитового гравия г. Новолукомль,zavod-keramzitovogo-graviya-g-novolukoml,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Каширский кирпичный завод,Каширский кирпичный завод,kashirskiy-kirpichnyy-zavod,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Кирпичный завод «Клим Клинкер»,"Кирпичный завод ""Клим Клинкер""",kirpichnyy-zavod-klim-klinker,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
Конструктивные решения,Стены,Стены,Кирпич,Коломенский кирпичный завод,Коломенский кирпичный завод,kolomenskiy-kirpichnyy-zavod,,,,confirmed_by_user,high,user_confirmed_list,Поставщик кирпича и стеновых материалов
